# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_truncation	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_truncation	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_exon_loss_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_rare_amino_acid_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_start_retained_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ARFGAP3	ENSG00000242247	ENST00000263245	protein_coding	44	158	266	1038	0	32	6	0	49	0	0	0	0	0	0	14	1	979	266	0	0	0	7	8	78	1	0	14	0	0	97	47
ARFGAP3	ENSG00000242247	ENST00000435208	protein_coding	9	21	50	507	0	0	0	0	0	0	0	0	0	214	0	4	0	304	50	0	0	0	2	0	15	0	0	3	0	0	12	0
ARFGAP3	ENSG00000242247	ENST00000437119	protein_coding	39	144	234	1087	0	32	4	0	33	0	0	0	0	0	0	12	1	1024	234	0	0	0	7	6	74	1	0	13	0	0	87	63
ARFGAP3	ENSG00000242247	ENST00000453516	protein_coding	20	69	144	762	0	0	0	0	0	0	0	0	0	22	0	6	0	507	144	0	0	0	2	3	34	0	0	9	0	0	46	261
ARFGAP3	ENSG00000242247	ENST00000454099	protein_coding	12	52	59	713	0	0	6	0	46	0	0	0	0	108	0	3	1	533	59	0	0	0	3	1	29	1	0	4	0	0	25	50
ARFGAP3	ENSG00000242247	ENST00000493606	retained_intron	2	5	0	207	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	113	0	0	2	0	5	0	0	0	0	0	0	39
ARHGAP8	ENSG00000241484	ENST00000336963	protein_coding	39	153	201	1300	0	347	6	0	21	0	0	1	0	0	0	11	0	990	200	0	0	0	6	6	62	1	0	13	2	0	100	0
ARHGAP8	ENSG00000241484	ENST00000356099	protein_coding	73	270	425	925	0	86	6	0	21	0	0	1	1	0	0	31	0	891	423	0	0	0	9	7	82	1	0	22	3	1	205	0
ARHGAP8	ENSG00000241484	ENST00000389772	nonsense_mediated_decay	15	80	0	2336	0	718	6	0	21	0	0	0	0	0	0	0	0	883	0	767	0	0	8	7	74	0	0	0	0	0	0	36
ARHGAP8	ENSG00000241484	ENST00000389774	protein_coding	73	270	425	925	0	86	6	0	21	0	0	1	1	0	0	31	0	891	423	0	0	0	9	7	82	1	0	22	3	1	205	0
ARHGAP8	ENSG00000241484	ENST00000396119	protein_coding	8	52	61	187	0	0	6	0	21	0	0	0	0	0	0	1	0	182	61	0	0	0	2	3	14	1	0	1	0	0	34	0
ARHGAP8	ENSG00000241484	ENST00000412433	protein_coding	8	56	69	270	0	0	6	0	21	0	0	1	0	46	0	1	0	219	68	0	0	0	2	3	15	1	0	1	0	0	38	0
ARHGAP8	ENSG00000241484	ENST00000447333	nonsense_mediated_decay	5	32	0	648	0	64	6	0	21	0	0	0	0	30	0	0	0	349	0	215	0	0	2	3	26	0	0	0	0	0	0	0
ARHGAP8	ENSG00000241484	ENST00000460809	retained_intron	7	46	0	858	0	0	0	0	0	0	0	0	0	0	0	0	0	567	0	344	0	0	3	4	46	0	0	0	0	0	0	0
ARHGAP8	ENSG00000241484	ENST00000469342	retained_intron	4	25	0	747	0	0	0	0	0	0	0	0	0	227	0	0	0	197	0	325	0	0	3	1	25	0	0	0	0	0	0	27
ARHGAP8	ENSG00000241484	ENST00000469872	processed_transcript	1	4	0	109	0	0	0	0	0	0	0	0	0	62	0	0	0	36	0	16	0	0	1	0	4	0	0	0	0	0	0	0
ARHGAP8	ENSG00000241484	ENST00000495219	retained_intron	3	8	0	290	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	128	0	0	1	2	8	0	0	0	0	0	0	66
ARHGAP8	ENSG00000241484	ENST00000498310	retained_intron	2	23	0	455	0	0	0	0	0	0	0	0	0	42	0	0	0	256	0	182	0	0	1	1	23	0	0	0	0	0	0	0
ARSA	ENSG00000100299	ENST00000216124	protein_coding	27	172	258	290	0	30	4	0	26	0	0	0	0	0	0	15	0	269	258	0	0	0	2	5	37	0	0	5	0	0	140	0
ARSA	ENSG00000100299	ENST00000356098	protein_coding	28	172	258	288	0	30	2	0	5	0	0	0	0	0	0	15	0	290	258	0	0	0	3	5	39	0	0	5	0	0	140	0
ARSA	ENSG00000100299	ENST00000395619	protein_coding	28	172	258	288	0	30	2	0	5	0	0	0	0	0	0	15	0	290	258	0	0	0	3	5	39	0	0	5	0	0	140	0
ARSA	ENSG00000100299	ENST00000395621	protein_coding	28	172	258	288	0	30	2	0	5	0	0	0	0	0	0	15	0	290	258	0	0	0	3	5	39	0	0	5	0	0	140	0
ARSA	ENSG00000100299	ENST00000453344	protein_coding	21	147	209	372	0	30	6	0	23	0	0	0	0	0	0	10	0	352	209	0	0	0	2	4	34	0	0	5	0	0	114	0
ARSA	ENSG00000100299	ENST00000551731	retained_intron	2	6	0	735	0	0	0	0	0	0	0	0	0	381	0	0	0	44	0	318	0	0	1	1	6	0	0	0	0	0	0	0
ARSA	ENSG00000100299	ENST00000608497	nonsense_mediated_decay	1	5	0	738	0	0	0	0	1	0	0	0	0	0	0	0	0	125	0	38	0	0	0	1	5	0	0	0	0	0	0	580
ARSA	ENSG00000100299	ENST00000610191	processed_transcript	0	0	0	743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	743
ARVCF	ENSG00000099889	ENST00000263207	protein_coding	45	330	607	1439	0	230	1	0	7	1	1	2	1	298	0	22	0	966	602	0	0	0	3	6	70	0	0	12	2	0	275	0
ARVCF	ENSG00000099889	ENST00000401994	protein_coding	38	310	572	1499	0	0	0	0	0	1	1	2	1	587	0	18	0	874	567	0	0	0	2	6	65	0	0	10	2	0	262	94
ARVCF	ENSG00000099889	ENST00000406259	protein_coding	43	322	605	1449	0	0	0	0	0	1	1	2	1	587	0	22	0	898	600	0	0	0	2	5	65	0	0	12	2	0	275	18
ARVCF	ENSG00000099889	ENST00000406522	protein_coding	37	308	570	1504	0	0	0	0	0	1	1	2	1	587	0	18	0	876	565	0	0	0	2	5	63	0	0	10	2	0	262	94
ARVCF	ENSG00000099889	ENST00000462319	processed_transcript	1	5	0	953	0	0	0	0	0	0	0	0	0	758	0	0	0	82	0	119	0	0	0	1	5	0	0	0	0	0	0	0
ARVCF	ENSG00000099889	ENST00000467828	processed_transcript	0	0	0	982	0	0	0	0	0	0	0	0	0	839	0	0	0	117	0	26	0	0	0	0	0	0	0	0	0	0	0	0
ARVCF	ENSG00000099889	ENST00000473551	retained_intron	1	6	0	1118	0	0	0	0	0	0	0	0	0	577	0	0	0	104	0	426	0	0	0	1	6	0	0	0	0	0	0	18
ARVCF	ENSG00000099889	ENST00000480792	processed_transcript	3	10	0	1858	0	0	0	0	0	0	0	0	0	894	0	0	0	167	0	154	0	0	3	0	10	0	0	0	0	0	0	656
ARVCF	ENSG00000099889	ENST00000487793	processed_transcript	1	6	0	1046	0	0	0	0	0	0	0	0	0	642	0	0	0	82	0	235	0	0	0	1	6	0	0	0	0	0	0	94
ARVCF	ENSG00000099889	ENST00000492625	processed_transcript	1	4	0	1048	0	0	0	0	0	0	0	0	0	710	0	0	0	82	0	167	0	0	0	1	4	0	0	0	0	0	0	94
ARVCF	ENSG00000099889	ENST00000495096	retained_intron	6	46	0	2273	0	0	0	0	0	0	0	0	0	298	0	0	0	787	0	675	0	0	2	4	46	0	0	0	0	0	0	565
ASCC2	ENSG00000100325	ENST00000307790	protein_coding	19	222	357	725	0	31	1	0	4	2	0	2	1	0	0	5	0	745	352	0	0	0	5	6	66	0	0	3	0	0	176	0
ASCC2	ENSG00000100325	ENST00000397771	protein_coding	19	222	357	725	0	31	1	0	4	2	0	2	1	0	0	5	0	745	352	0	0	0	5	6	66	0	0	3	0	0	176	0
ASCC2	ENSG00000100325	ENST00000411532	protein_coding	5	26	57	733	0	0	0	0	0	0	0	0	1	317	0	1	0	105	56	0	0	0	1	2	7	0	0	1	0	0	23	317
ASCC2	ENSG00000100325	ENST00000412689	processed_transcript	1	13	0	269	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	110	0	0	0	1	13	0	0	0	0	0	0	17
ASCC2	ENSG00000100325	ENST00000431535	protein_coding	4	62	98	286	0	0	1	0	4	1	0	0	0	68	0	1	0	229	97	0	0	0	1	1	17	0	0	1	0	0	47	0
ASCC2	ENSG00000100325	ENST00000449900	nonsense_mediated_decay	1	15	0	453	0	16	1	0	4	0	0	0	0	29	0	0	0	347	0	72	0	0	1	0	14	0	0	0	0	0	0	0
ASCC2	ENSG00000100325	ENST00000453160	nonsense_mediated_decay	1	1	0	352	0	71	0	0	0	0	0	0	0	84	0	0	0	128	0	71	0	0	0	1	1	0	0	0	0	0	0	0
ASCC2	ENSG00000100325	ENST00000454854	nonsense_mediated_decay	0	10	0	295	0	17	1	0	4	0	0	0	0	175	0	0	0	67	0	41	0	0	0	0	9	0	0	0	0	0	0	0
ASCC2	ENSG00000100325	ENST00000458594	nonsense_mediated_decay	11	67	0	1764	0	516	1	0	4	0	0	0	0	0	0	0	0	781	0	540	0	0	5	6	66	0	0	0	0	0	0	0
ASCC2	ENSG00000100325	ENST00000460313	retained_intron	1	9	0	273	0	0	0	0	0	0	0	0	0	96	0	0	0	104	0	83	0	0	0	1	9	0	0	0	0	0	0	0
ASCC2	ENSG00000100325	ENST00000462454	retained_intron	0	6	0	277	0	0	0	0	0	0	0	0	0	84	0	0	0	118	0	81	0	0	0	0	6	0	0	0	0	0	0	0
ASCC2	ENSG00000100325	ENST00000463203	retained_intron	0	5	0	210	0	0	0	0	0	0	0	0	0	24	0	0	0	46	0	66	0	0	0	0	5	0	0	0	0	0	0	79
ASCC2	ENSG00000100325	ENST00000464287	processed_transcript	0	6	0	532	0	0	0	0	0	0	0	0	0	336	0	0	0	58	0	30	0	0	0	0	6	0	0	0	0	0	0	114
ASCC2	ENSG00000100325	ENST00000465667	retained_intron	1	14	0	268	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	133	0	0	0	1	14	0	0	0	0	0	0	0
ASCC2	ENSG00000100325	ENST00000472433	processed_transcript	0	8	0	1030	0	0	0	0	0	0	0	0	0	0	0	0	0	853	0	56	0	0	0	0	8	0	0	0	0	0	0	129
ASCC2	ENSG00000100325	ENST00000477074	retained_intron	1	0	0	214	0	0	0	0	0	0	0	0	0	115	0	0	0	37	0	63	0	0	0	1	0	0	0	0	0	0	0	0
ASCC2	ENSG00000100325	ENST00000478812	processed_transcript	2	24	0	563	0	0	0	0	0	0	0	0	0	206	0	0	0	248	0	135	0	0	2	0	24	0	0	0	0	0	0	0
ASCC2	ENSG00000100325	ENST00000483380	processed_transcript	1	2	0	545	0	0	0	0	0	0	0	0	0	320	0	0	0	24	0	30	0	0	1	0	2	0	0	0	0	0	0	174
ASCC2	ENSG00000100325	ENST00000487486	retained_intron	6	21	0	846	0	0	0	0	0	0	0	0	0	0	0	0	0	276	0	345	0	0	3	3	21	0	0	0	0	0	0	252
ASCC2	ENSG00000100325	ENST00000492821	retained_intron	0	0	0	68	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASCC2	ENSG00000100325	ENST00000495681	retained_intron	1	2	0	280	0	0	0	0	0	0	0	0	0	82	0	0	0	128	0	73	0	0	0	1	2	0	0	0	0	0	0	0
ASCC2	ENSG00000100325	ENST00000495967	processed_transcript	0	6	0	442	0	0	0	0	0	0	0	0	0	114	0	0	0	264	0	70	0	0	0	0	6	0	0	0	0	0	0	0
ASCC2	ENSG00000100325	ENST00000542393	protein_coding	18	206	329	770	0	31	1	0	4	2	0	2	1	0	0	5	0	784	324	0	0	0	5	5	61	0	0	3	0	0	165	0
ASPHD2	ENSG00000128203	ENST00000215906	protein_coding	9	125	136	142	0	29	4	0	27	1	0	1	0	0	0	3	1	97	134	0	0	0	1	0	10	1	0	3	1	0	110	0
ATF4	ENSG00000128272	ENST00000337304	protein_coding	18	140	250	117	0	39	5	0	31	3	0	8	0	10	0	11	0	43	239	0	0	0	1	0	8	1	0	5	0	0	130	0
ATF4	ENSG00000128272	ENST00000396680	protein_coding	18	145	250	115	0	39	5	0	29	3	0	8	0	10	0	11	0	45	239	0	0	0	1	0	13	1	0	5	0	0	130	0
ATF4	ENSG00000128272	ENST00000404241	protein_coding	18	145	250	115	0	39	5	0	29	3	0	8	0	10	0	11	0	45	239	0	0	0	1	0	13	1	0	5	0	0	130	0
ATP5MGL	ENSG00000249222	ENST00000505920	protein_coding	14	27	52	214	0	14	3	0	19	0	0	0	0	114	0	6	0	0	52	0	0	0	0	0	0	2	0	3	3	0	24	67
ATP6V1E1	ENSG00000131100	ENST00000253413	protein_coding	11	64	72	723	0	24	11	0	48	0	0	0	0	316	0	3	0	359	72	0	0	0	1	2	29	0	0	4	1	0	32	0
ATP6V1E1	ENSG00000131100	ENST00000399796	protein_coding	10	57	66	726	0	24	11	0	48	0	0	0	0	305	0	2	0	371	66	0	0	0	1	2	27	0	0	4	1	0	27	0
ATP6V1E1	ENSG00000131100	ENST00000399798	protein_coding	9	59	70	662	0	24	11	0	48	0	0	0	0	246	0	2	0	364	70	0	0	0	1	2	25	0	0	3	1	0	31	0
ATP6V1E1	ENSG00000131100	ENST00000413576	protein_coding	6	60	61	576	0	0	12	0	55	0	0	0	0	221	0	2	0	319	61	0	0	0	0	2	26	0	0	2	0	0	31	0
ATP6V1E1	ENSG00000131100	ENST00000460085	processed_transcript	1	4	0	236	0	0	0	0	0	0	0	0	0	50	0	0	0	99	0	92	0	0	0	1	4	0	0	0	0	0	0	0
ATP6V1E1	ENSG00000131100	ENST00000473248	retained_intron	1	6	0	486	0	0	0	0	0	0	0	0	0	269	0	0	0	40	0	46	0	0	1	0	6	0	0	0	0	0	0	138
ATP6V1E1	ENSG00000131100	ENST00000478963	processed_transcript	2	7	0	232	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	97	0	0	0	2	7	0	0	0	0	0	0	0
ATP6V1E1	ENSG00000131100	ENST00000481365	retained_intron	1	17	0	401	0	0	0	0	0	0	0	0	0	63	0	0	0	223	0	105	0	0	0	1	17	0	0	0	0	0	0	28
ATP6V1E1	ENSG00000131100	ENST00000484653	retained_intron	1	6	0	349	0	0	0	0	0	0	0	0	0	138	0	0	0	121	0	69	0	0	0	1	6	0	0	0	0	0	0	28
ATXN10	ENSG00000130638	ENST00000252934	protein_coding	17	123	207	659	0	21	6	0	50	0	0	2	0	0	0	9	0	619	205	0	0	0	1	2	37	0	0	5	0	0	89	0
ATXN10	ENSG00000130638	ENST00000381061	protein_coding	17	110	179	700	0	21	6	0	50	0	0	2	0	0	0	9	0	658	177	0	0	0	1	2	33	0	0	5	0	0	78	0
ATXN10	ENSG00000130638	ENST00000402380	protein_coding	6	28	46	171	0	21	2	0	10	1	0	1	0	0	0	2	0	132	44	0	0	0	0	1	7	1	0	2	0	0	19	16
ATXN10	ENSG00000130638	ENST00000435026	protein_coding	3	43	74	240	0	0	0	0	0	0	0	0	0	0	0	1	0	224	74	0	0	0	0	1	10	0	0	1	0	0	36	24
ATXN10	ENSG00000130638	ENST00000451241	processed_transcript	3	7	0	277	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0	100	0	0	0	3	7	0	0	0	0	0	0	17
ATXN10	ENSG00000130638	ENST00000464482	processed_transcript	1	3	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	7	0	0	0	1	3	0	0	0	0	0	0	126
ATXN10	ENSG00000130638	ENST00000470722	processed_transcript	1	8	0	291	0	0	0	0	0	0	0	0	0	118	0	0	0	120	0	62	0	0	1	0	8	0	0	0	0	0	0	0
ATXN10	ENSG00000130638	ENST00000476998	processed_transcript	0	9	0	462	0	0	0	0	0	0	0	0	0	115	0	0	0	121	0	79	0	0	0	0	9	0	0	0	0	0	0	156
ATXN10	ENSG00000130638	ENST00000483549	retained_intron	0	11	0	304	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	141	0	0	0	0	11	0	0	0	0	0	0	34
ATXN10	ENSG00000130638	ENST00000493643	processed_transcript	1	14	0	397	0	0	0	0	0	0	0	0	0	21	0	0	0	279	0	112	0	0	0	1	14	0	0	0	0	0	0	0
ATXN10	ENSG00000130638	ENST00000498009	processed_transcript	2	14	0	499	0	0	0	0	0	0	0	0	0	36	0	0	0	219	0	167	0	0	1	1	14	0	0	0	0	0	0	93
ATXN10	ENSG00000130638	ENST00000640901	protein_coding	17	97	172	465	0	0	0	0	0	0	0	1	0	29	0	8	0	413	171	0	0	0	4	1	32	0	0	4	0	0	75	50
BAIAP2L2	ENSG00000128298	ENST00000332536	protein_coding	44	186	346	1676	0	33	13	0	37	0	12	1	2	586	0	23	0	738	331	0	0	0	6	7	61	1	0	8	0	0	136	332
BAIAP2L2	ENSG00000128298	ENST00000381669	protein_coding	41	188	347	1693	0	33	13	0	37	0	12	2	2	586	0	22	0	735	331	0	0	0	5	5	60	1	0	8	0	0	138	349
BAIAP2L2	ENSG00000128298	ENST00000428572	protein_coding	20	56	114	1117	0	39	0	0	0	0	6	2	2	586	0	11	0	213	104	0	0	0	1	4	11	0	0	3	1	0	49	291
BCL2L13	ENSG00000099968	ENST00000317582	protein_coding	19	130	182	542	0	14	11	0	79	1	1	3	0	48	0	9	0	351	177	0	0	0	2	1	23	1	0	7	0	0	100	70
BCL2L13	ENSG00000099968	ENST00000337612	protein_coding	10	72	52	756	0	184	28	0	149	0	0	1	0	48	0	5	0	391	51	0	0	0	2	1	18	1	0	1	1	0	29	0
BCL2L13	ENSG00000099968	ENST00000355028	protein_coding	10	54	65	724	0	161	7	0	45	0	1	1	0	32	0	4	0	397	63	0	0	0	2	1	17	1	0	3	0	1	32	104
BCL2L13	ENSG00000099968	ENST00000399777	nonsense_mediated_decay	1	3	0	722	0	210	0	0	1	0	0	0	0	0	0	0	0	248	0	232	0	0	1	0	3	0	0	0	0	0	0	35
BCL2L13	ENSG00000099968	ENST00000399781	processed_transcript	3	16	0	478	0	0	0	0	0	0	0	0	0	20	0	0	0	274	0	125	0	0	1	2	16	0	0	0	0	0	0	78
BCL2L13	ENSG00000099968	ENST00000399782	protein_coding	11	71	80	535	0	13	13	0	59	0	1	1	0	113	0	5	0	290	78	0	0	0	1	2	23	1	0	3	0	0	39	78
BCL2L13	ENSG00000099968	ENST00000418951	protein_coding	15	127	118	645	0	14	40	0	236	1	0	2	0	48	0	5	0	364	115	0	0	0	2	1	19	1	0	6	0	0	68	0
BCL2L13	ENSG00000099968	ENST00000464649	processed_transcript	1	8	0	410	0	0	0	0	0	0	0	0	0	51	0	0	0	185	0	113	0	0	1	0	8	0	0	0	0	0	0	70
BCL2L13	ENSG00000099968	ENST00000479296	processed_transcript	0	5	0	229	0	0	0	0	0	0	0	0	0	133	0	0	0	43	0	58	0	0	0	0	5	0	0	0	0	0	0	0
BCL2L13	ENSG00000099968	ENST00000485631	processed_transcript	1	3	0	389	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	209	0	0	1	0	3	0	0	0	0	0	0	134
BCL2L13	ENSG00000099968	ENST00000493680	protein_coding	10	66	80	458	0	38	10	0	67	0	1	1	0	88	0	5	0	200	78	0	0	0	1	1	21	1	0	3	0	0	39	82
BCL2L13	ENSG00000099968	ENST00000498133	nonsense_mediated_decay	3	34	0	1103	0	229	12	0	87	0	0	0	0	0	0	0	0	378	0	372	0	0	2	1	22	0	0	0	0	0	0	62
BCL2L13	ENSG00000099968	ENST00000538149	protein_coding	8	65	39	778	0	184	28	0	149	0	0	1	0	48	0	4	0	408	38	0	0	0	1	1	12	1	0	1	1	0	26	0
BCL2L13	ENSG00000099968	ENST00000543133	protein_coding	15	127	118	643	0	14	37	0	222	1	0	2	0	48	0	5	0	378	115	0	0	0	2	1	22	1	0	6	0	0	68	0
BCL2L13	ENSG00000099968	ENST00000611738	protein_coding	14	130	202	527	0	14	13	0	47	1	2	2	0	48	0	6	0	430	197	0	0	0	2	0	13	1	0	5	0	0	107	0
BCL2L13	ENSG00000099968	ENST00000616863	protein_coding	9	58	32	791	0	184	28	0	149	0	0	1	0	48	0	4	0	424	31	0	0	0	2	1	16	1	0	1	1	0	17	0
BCL2L13	ENSG00000099968	ENST00000618481	protein_coding	17	140	224	492	0	14	13	0	47	1	2	2	0	48	0	7	0	397	219	0	0	0	2	0	15	1	0	7	0	0	115	0
BCR	ENSG00000186716	ENST00000305877	protein_coding	22	450	622	1224	0	33	5	0	44	3	0	3	2	0	0	8	0	1220	614	0	0	0	2	3	92	0	0	10	0	0	377	0
BCR	ENSG00000186716	ENST00000359540	protein_coding	20	436	603	1259	0	33	5	0	44	3	0	3	2	0	0	8	0	1253	595	0	0	0	2	3	89	0	0	8	0	0	365	0
BCR	ENSG00000186716	ENST00000419722	processed_transcript	0	13	0	1062	0	0	0	0	0	0	0	0	0	455	0	0	0	212	0	97	0	0	0	0	13	0	0	0	0	0	0	311
BCR	ENSG00000186716	ENST00000427791	protein_coding	3	84	95	815	0	0	0	0	0	0	0	1	0	315	0	1	0	454	94	0	0	0	1	1	27	0	0	0	0	0	67	65
BCR	ENSG00000186716	ENST00000436990	processed_transcript	0	23	0	556	0	0	0	0	0	0	0	0	0	0	0	0	0	311	0	242	0	0	0	0	23	0	0	0	0	0	0	26
BCR	ENSG00000186716	ENST00000458056	processed_transcript	0	7	0	572	0	0	0	0	0	0	0	0	0	150	0	0	0	141	0	107	0	0	0	0	7	0	0	0	0	0	0	181
BCR	ENSG00000186716	ENST00000463770	processed_transcript	0	3	0	94	0	0	0	0	0	0	0	0	0	67	0	0	0	19	0	11	0	0	0	0	3	0	0	0	0	0	0	0
BCR	ENSG00000186716	ENST00000466076	retained_intron	2	8	0	487	0	0	0	0	0	0	0	0	0	297	0	0	0	107	0	93	0	0	0	2	8	0	0	0	0	0	0	0
BCR	ENSG00000186716	ENST00000471452	processed_transcript	0	2	0	195	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	30	0	0	0	0	2	0	0	0	0	0	0	144
BCR	ENSG00000186716	ENST00000475025	processed_transcript	0	16	0	563	0	0	0	0	0	0	0	0	0	254	0	0	0	231	0	94	0	0	0	0	16	0	0	0	0	0	0	0
BCR	ENSG00000186716	ENST00000478978	processed_transcript	0	3	0	520	0	0	0	0	0	0	0	0	0	455	0	0	0	41	0	27	0	0	0	0	3	0	0	0	0	0	0	0
BCR	ENSG00000186716	ENST00000479188	processed_transcript	0	10	0	784	0	0	0	0	0	0	0	0	0	50	0	0	0	654	0	90	0	0	0	0	10	0	0	0	0	0	0	0
BCR	ENSG00000186716	ENST00000480973	processed_transcript	0	10	0	244	0	0	0	0	0	0	0	0	0	57	0	0	0	114	0	83	0	0	0	0	10	0	0	0	0	0	0	0
BCR	ENSG00000186716	ENST00000487679	processed_transcript	0	3	0	94	0	0	0	0	0	0	0	0	0	67	0	0	0	19	0	11	0	0	0	0	3	0	0	0	0	0	0	0
BCR	ENSG00000186716	ENST00000487968	retained_intron	4	14	0	612	0	0	0	0	0	0	0	0	0	133	0	0	0	234	0	263	0	0	1	3	14	0	0	0	0	0	0	0
BCRP3	ENSG00000215481	ENST00000447261	retained_intron	0	0	0	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192
BCRP3	ENSG00000215481	ENST00000621462		0	0	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183
BCRP8	ENSG00000236794	ENST00000412037	processed_pseudogene	0	0	0	540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	540
BID	ENSG00000015475	ENST00000317361	protein_coding	18	71	119	363	0	22	1	0	18	2	2	1	1	0	0	6	0	343	113	0	0	0	1	5	21	0	0	6	0	1	55	0
BID	ENSG00000015475	ENST00000342111	protein_coding	12	50	59	455	0	96	2	0	17	0	2	0	0	3	0	1	0	360	57	0	0	0	1	4	24	1	0	2	3	1	27	0
BID	ENSG00000015475	ENST00000399765	protein_coding	6	42	57	471	0	22	5	0	15	2	1	1	1	0	0	2	0	444	52	0	0	0	0	3	11	1	0	0	0	1	28	0
BID	ENSG00000015475	ENST00000399767	protein_coding	6	56	57	467	0	22	14	0	58	2	1	1	1	0	0	2	0	401	52	0	0	0	0	3	16	1	0	0	0	1	28	0
BID	ENSG00000015475	ENST00000399774	protein_coding	9	63	99	402	0	22	2	0	17	2	2	1	1	0	0	2	0	381	93	0	0	0	1	3	20	1	0	2	0	1	45	0
BID	ENSG00000015475	ENST00000473439	processed_transcript	1	11	0	558	0	0	0	0	0	0	0	0	0	90	0	0	0	350	0	130	0	0	0	1	11	0	0	0	0	0	0	0
BID	ENSG00000015475	ENST00000494097	retained_intron	3	9	0	401	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	216	0	0	0	3	9	0	0	0	0	0	0	88
BID	ENSG00000015475	ENST00000550946	retained_intron	4	20	0	546	0	0	0	0	0	0	0	0	0	16	0	0	0	308	0	246	0	0	1	3	20	0	0	0	0	0	0	0
BID	ENSG00000015475	ENST00000551952	protein_coding	9	63	99	402	0	6	2	0	17	2	2	1	1	16	0	2	0	381	93	0	0	0	1	3	20	1	0	2	0	1	45	0
BID	ENSG00000015475	ENST00000552886	processed_transcript	0	8	0	562	0	0	0	0	0	0	0	0	0	226	0	0	0	292	0	52	0	0	0	0	8	0	0	0	0	0	0	0
BID	ENSG00000015475	ENST00000611040	protein_coding	6	42	57	471	0	6	5	0	15	2	1	1	1	16	0	2	0	444	52	0	0	0	0	3	11	1	0	0	0	1	28	0
BID	ENSG00000015475	ENST00000614949	protein_coding	7	49	57	467	0	22	8	0	35	2	1	1	1	0	0	2	0	424	52	0	0	0	1	3	15	1	0	0	0	1	28	0
BID	ENSG00000015475	ENST00000615414	protein_coding	8	47	57	469	0	22	9	0	53	2	1	1	1	0	0	2	0	406	52	0	0	0	0	5	12	1	0	0	0	1	28	0
BID	ENSG00000015475	ENST00000617586	protein_coding	10	36	50	477	0	0	2	0	17	0	1	0	0	269	0	4	0	199	49	0	0	0	1	0	12	1	0	4	1	0	26	0
BID	ENSG00000015475	ENST00000622694	protein_coding	9	63	99	402	0	22	2	0	17	2	2	1	1	0	0	2	0	381	93	0	0	0	1	3	20	1	0	2	0	1	45	0
BIK	ENSG00000100290	ENST00000216115	protein_coding	15	59	108	404	0	32	0	0	0	1	7	2	6	179	0	12	0	203	92	0	0	0	2	0	13	0	0	3	0	0	51	0
BPIFC	ENSG00000184459	ENST00000300399	protein_coding	29	140	226	806	0	17	0	0	0	0	0	0	0	130	0	8	0	624	226	0	0	0	6	5	51	0	0	10	0	0	106	80
BPIFC	ENSG00000184459	ENST00000397450	protein_coding	6	25	27	204	0	14	2	0	42	0	0	0	0	12	0	1	0	120	27	0	0	0	0	1	12	0	0	4	0	1	13	23
BPIFC	ENSG00000184459	ENST00000397452	protein_coding	29	146	226	868	0	17	2	0	36	0	0	0	0	130	0	8	0	722	226	0	0	0	6	5	55	0	0	10	0	0	106	10
